"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Dart","PHB'24","215","none","Weapon, Simple Weapon, Ranged Weapon","","1d4 Piercing","Finesse, Thrown (20/60 ft.)","Mastery: Vex","¼ lb.","5 CP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Detailed, life-sized dragonborn skull cast in electrum","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Diamond","DMG'24","214","none","Treasure (Gemstone)","","","","","","5,000 GP","A blue white, canary, pink, brown, or blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Dice Set","PHB'24","221","none","Gaming Set","","","","","","1 SP","Ability: WisdomUtilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Diplomat's Pack","PHB'24","225","none","Adventuring Gear","","","","","39 lb.","39 GP","A Diplomat's Pack contains the following items: Chest, Fine Clothes, Ink, 5 Ink Pens, Lamp, 2 Map or Scroll Cases, 4 flasks of Oil, 5 sheets of Paper, 5 sheets of Parchment, Perfume, and Tinderbox."
"Disguise Kit","PHB'24","221","none","Tool","","","","","3 lb.","25 GP","Ability: CharismaUtilize: Apply makeup (DC 10)Craft: CostumeIf you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Draft Horse","PHB'24","229","none","Mount","","Speed: 40, Carrying Capacity: 540 lb.","","","","50 GP",""
"Dragonchess Set","PHB'24","221","none","Gaming Set","","","","","","1 GP","Ability: WisdomUtilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Druidic Focus","PHB'24","225","none","Spellcasting Focus","","","","","","","A Druidic Focus takes a specific form and is carved, tied with ribbon, or painted to channel primal magic. A Druid or Ranger can use such an object as a Spellcasting Focus.Multiple variations of this item exist, as listed below:Sprig of mistletoeWooden staffYew wand"
"Drum","PHB'24","221","none","Instrument","","","","","3 lb.","6 GP","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dulcimer","PHB'24","221","none","Instrument","","","","","10 lb.","25 GP","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Dungeoneer's Pack","PHB'24","225","none","Adventuring Gear","","","","","55 lb.","12 GP","A Dungeoneer's Pack contains the following items: Backpack, Caltrops, Crowbar, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin."
"Dynamite Stick","DMG'24","73","none","Explosive, Modern","","","","","1 lb.","","An an action, you can light a Dynamite Stick and throw it at a point up to 60 feet away, where it explodes. Each creature in a 5-foot-radius Sphere centered on that point makes a DC 12 Dexterity saving throw, taking 3d6 Force damage on a failed save or half as much damage on a successful one.It takes 1 minute to bind two or more Dynamite Sticks together so they explode at the same time. Each stick after the first increases the damage by 1d6 (to a maximum of 10d6) and the effect's radius by 5 feet (to a maximum of 20 feet).It takes 1 minute to rig dynamite with a longer fuse so it explodes after a longer period of time, such as 1 minute or 10 minutes."
"Elephant","PHB'24","229","none","Mount","","Speed: 40, Carrying Capacity: 1320 lb.","","","","200 GP",""
"Emblem","PHB'24","226","none","Spellcasting Focus","","","","","","5 GP","For an Emblem to be an effective Holy Symbol, it must be borne on fabric (such as a tabard or banner) or a Shield.A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus."
"Embroidered glove set with jewel chips","DMG'24","215","none","Treasure (Art Object)","","","","","","2,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Embroidered silk and velvet mantle set with numerous moonstones","DMG'24","215","none","Treasure (Art Object)","","","","","","2,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Embroidered silk handkerchief","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Emerald","DMG'24","214","none","Treasure (Gemstone)","","","","","","1,000 GP","A deep bright green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Energy Cell","DMG'24","72","none","Ammunition, Futuristic","","","","","½ lb.","",""
"Entertainer's Pack","PHB'24","225","none","Adventuring Gear","","","","","58½ lb.","40 GP","An Entertainer's Pack contains the following items: Backpack, Bedroll, Bell, Bullseye Lantern, 3 Costumes, Mirror, 8 flasks of Oil, 9 days of Rations, Tinderbox, and Waterskin."
"Essence of Ether","DMG'24","90","none","Adventuring Gear, Poison (Inhaled)","","","","","","300 GP","A creature subjected to Essence of Ether must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 8 hours. The creature also has the Unconscious condition while Poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake."
"Exotic Saddle","PHB'24","230","none","Tack and Harness","","","","","40 lb.","60 GP","A saddle comes with a bit, a bridle, reins, and any other equipment needed to use the saddle. An Exotic Saddle is required for riding an aquatic or a flying mount."
"Explorer's Pack","PHB'24","225","none","Adventuring Gear","","","","","55 lb.","10 GP","An Explorer's Pack contains the following items: Backpack, Bedroll, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin."
"Eye Agate","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A circles of gray, white, brown, blue, or green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Eye patch decorated with tiny blue sapphires and moonstones","DMG'24","215","none","Treasure (Art Object)","","","","","","2,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Feed (per day)","PHB'24","230","none","Tack and Harness","","","","","10 lb.","5 CP",""
"Fine Clothes","PHB'24","225","none","Adventuring Gear","","","","","6 lb.","15 GP","Fine Clothes are made of expensive fabrics and adorned with expertly crafted details. Some events and locations admit only people wearing these clothes."
"Fine Wine (bottle)","PHB'24","231","none","Food and Drink","","","","","","10 GP",""
"Fine gold chain set with a fire opal","DMG'24","215","none","Treasure (Art Object)","","","","","","2,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Fire Opal","DMG'24","214","none","Treasure (Gemstone)","","","","","","1,000 GP","A fiery red gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Firearm Bullet","PHB'24","222","none","Ammunition","","","","","⅕ lb.","3 SP","Firearm Bullets are destroyed upon use in a modern firearm."
"Firearm Bullets (10)","PHB'24","222","none","Ammunition","","","","","2 lb.","3 GP","Firearm Bullets are destroyed upon use in a modern firearm."
"Flail","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d8 Bludgeoning","","Mastery: Sap","2 lb.","10 GP","Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Flask","PHB'24","225","none","Adventuring Gear","","","","","1 lb.","2 CP","A Flask holds up to 1 pint."
"Flour","DMG'24","213","none","Trade Good","","","","","2 lb.","2 CP","Merchants commonly exchange trade goods without using currency."
"Flute","PHB'24","221","none","Instrument","","","","","1 lb.","2 GP","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Forgery Kit","PHB'24","221","none","Tool","","","","","5 lb.","15 GP","Ability: DexterityUtilize: Mimic 10 or fewer words of someone else's handwriting (DC 15), or duplicate a wax seal (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Fragmentation Grenade","DMG'24","73","none","Explosive, Modern","","","","","1 lb.","","As an action, you can either throw a grenade at a point up to 60 feet away or use a Grenade Launcher to propel the grenade to a point up to 1,000 feet away. The grenade explodes at that point, creating a particular effect in a 20-foot-radius Sphere.Each creature in the Sphere makes a DC 15 Dexterity saving throw, taking 17 (5d6) Piercing damage on a failed save or half as much damage on a successful one."
"Galley","PHB'24","230","none","Vehicle (Water)","","Speed: 4 mphCarrying Capacity: 150 tons cargoCrew 80, AC 15, HP 500, Damage Threshold 20","","","","30,000 GP","Speed. A ship sailing against a strong wind moves at half speed. In a dead calm (no wind), waterborne ships can't move under sail and must be rowed. Keelboats and Rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A Rowboat can be carried and weighs 100 pounds. Crew. A ship larger than a Keelboat or Rowboat needs a crew of skilled hirelings (see ""Services"") to function. The minimum number of skilled hirelings needed to crew a ship depends on the type of ship. Passengers. The number of Small and Medium passengers the ship can accommodate using hammocks. A ship outfitted with private accommodations can carry one-fifth as many passengers. A passenger usually pays 5 SP per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 GP per day. Damage Threshold. See the rules glossary. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 Hit Point of damage requires 1 day and costs 20 GP for materials and labor. If the repairs are made in a location where supplies and skilled labor are abundant, such as a city shipyard, the repair time and cost are halved."
"Gaming Set","PHB'24","221","none","Gaming Set","","","","","","","If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.Multiple variations of this item exist, as listed below:Dice SetDragonchess SetPlaying CardsThree-Dragon Ante Set"
"Garnet","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A red, brown green, or violet gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Gilded royal coach or funeral barge","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Ginger","DMG'24","213","none","Trade Good","","","","","1 lb.","1 GP","Merchants commonly exchange trade goods without using currency."
"Glaive","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Graze","6 lb.","20 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Glass Bottle","PHB'24","224","none","Adventuring Gear","","","","","2 lb.","2 GP","A Glass Bottle holds up to 1½ pints."
"Glassblower's Tools","PHB'24","220","none","Artisan's Tools","","","","","5 lb.","30 GP","Ability: IntelligenceUtilize: Discern what a glass object held in the past 24 hours (DC 15)Craft: Glass Bottle, Magnifying Glass, Spyglass, VialArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Goat","DMG'24","213","none","Trade Good","","","","","","1 GP","Merchants commonly exchange trade goods without using currency."
"Gold","DMG'24","213","none","Trade Good","","","","","1 lb.","50 GP","Merchants commonly exchange trade goods without using currency."
"Gold Bar (5-pound)","DMG'24","213","none","Trade Bar","","5 in. long × 2 in. wide × ¾ in. thick","","","5 lb.","250 GP","Because large numbers of coins can be difficult to transport and account for, many merchants prefer to use trade bars—ingots of precious metals and alloys (usually silver). These bars are valued by weight."
"Gold birdcage with electrum filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold bracelet","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold circlet set with four aquamarines","DMG'24","215","none","Treasure (Art Object)","","","","","","2,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold comb shaped like a dragon with red garnets as eyes","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold cup set with emeralds","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold idol","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold jewelry box with platinum filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold locket with a painted portrait inside","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold music box","DMG'24","215","none","Treasure (Art Object)","","","","","","2,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold ring set with bloodstones","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Gold statuette set with rubies","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Grappling Hook","PHB'24","225","none","Adventuring Gear","","","","","4 lb.","2 GP","As a Utilize action, you can throw the Grappling Hook at a railing, a ledge, or another catch within 50 feet of yourself, and the hook catches on if you succeed on a DC 13 Dexterity (Acrobatics) check. If you tied a Rope to the hook, you can then climb it."
"Greataxe","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d12 Slashing","Heavy, Two‑Handed","Mastery: Cleave","7 lb.","30 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Greatclub","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d8 Bludgeoning","Two‑Handed","Mastery: Push","10 lb.","2 SP","Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Greatsword","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","2d6 Slashing","Heavy, Two‑Handed","Mastery: Graze","6 lb.","50 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Grenade Launcher","DMG'24","73","none","Adventuring Gear, Modern","","","","","7 lb.","","As an action, you can either throw a grenade at a point up to 60 feet away or use a Grenade Launcher to propel the grenade to a point up to 1,000 feet away. The grenade explodes at that point, creating a particular effect in a 20-foot-radius Sphere."
"Gunpowder (keg)","DMG'24","73","none","Explosive","","","","","20 lb.","250 GP","Setting fire to a keg full of Gunpowder causes it to explode. When a keg explodes, each creature in a 10-foot-radius Sphere centered on the keg makes a DC 12 Dexterity saving throw, taking 24 (7d6) Fire damage on a failed save or half as much damage on a successful one."
"Gunpowder (powder horn)","DMG'24","73","none","Explosive","","","","","2 lb.","35 GP","Setting fire to a powder horn full of Gunpowder causes it to explode. When a powder horn explodes, each creature in a 10-foot-radius Sphere centered on the powder horn makes a DC 12 Dexterity saving throw, taking 10 (3d6) Fire damage on a failed save or half as much damage on a successful one."
"Halberd","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Cleave","6 lb.","20 GP","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Half Plate Armor","PHB'24","219","none","Medium Armor","","AC 15 + Dex (max 2)","","","40 lb.","750 GP","The wearer has Disadvantage on Dexterity (Stealth) checks."
"Hand Crossbow","PHB'24","215","none","Weapon, Martial Weapon, Ranged Weapon","","1d6 Piercing","Ammunition (Range 30/120 ft.; Bolt), Light, Loading","Mastery: Vex","3 lb.","75 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Handaxe","PHB'24","215","none","Weapon, Simple Weapon, Melee Weapon","","1d6 Slashing","Light, Thrown (20/60 ft.)","Mastery: Vex","2 lb.","5 GP","Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Handheld mirror set in a painted wooden frame","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Healer's Kit","PHB'24","225","none","Adventuring Gear","","","","","3 lb.","5 GP","A Healer's Kit has ten uses. As a Utilize action, you can expend one of its uses to stabilize an Unconscious creature that has 0 Hit Points without needing to make a Wisdom (Medicine) check."
"Heavy Crossbow","PHB'24","215","none","Weapon, Martial Weapon, Ranged Weapon","","1d10 Piercing","Ammunition (Range 100/400 ft.; Bolt), Heavy, Loading, Two‑Handed","Mastery: Push","18 lb.","50 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Hematite","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A gray black gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Herbalism Kit","PHB'24","221","none","Tool","","","","","3 lb.","5 GP","Ability: IntelligenceUtilize: Identify a plant (DC 10)Craft: Antitoxin, Candle, Healer's Kit, Potion of HealingIf you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Hide Armor","PHB'24","219","none","Medium Armor","","AC 12 + Dex (max 2)","","","12 lb.","10 GP",""
"Holy Symbol","PHB'24","226","none","Spellcasting Focus","","","","","","","A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus.Multiple variations of this item exist, as listed below:AmuletEmblemReliquary"
"Holy Water","PHB'24","226","none","Adventuring Gear","","","","","1 lb.","25 GP","When you take the Attack action, you can replace one of your attacks with throwing a flask of Holy Water. Target one creature you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d8 Radiant damage if it is a Fiend or an Undead."
"Hooded Lantern","PHB'24","226","none","Adventuring Gear","","","","","2 lb.","5 GP","A Hooded Lantern burns Oil as fuel to cast Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. As a Bonus Action, you can lower the hood, reducing the light to Dim Light in a 5-foot radius, or raise it again."
"Horn","PHB'24","221","none","Instrument","","","","","2 lb.","3 GP","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Hunting Rifle","DMG'24","73","none","Weapon, Modern, Martial Weapon, Ranged Weapon, Firearm","","2d10 Piercing","Ammunition (80/240 ft.; Firearm Bullet), Reload (5 shots), Two‑Handed","Mastery: Slow","8 lb.","","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. Firearm Bullets are destroyed upon use in a modern firearm. Futuristic firearms use Energy Cells that become depleted but could possibly be recharged with the proper equipment, at the GM's discretion. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Hunting Trap","PHB'24","226","none","Adventuring Gear","","","","","25 lb.","5 GP","As a Utilize action, you can set a Hunting Trap, which is a sawtooth steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 Piercing damage and have its Speed reduced to 0 until the start of its next turn. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet). A creature can use its action to make a DC 13 Strength (Athletics) check, freeing itself or another creature within its reach on a success. Each failed check deals 1 Piercing damage to the trapped creature."
"Ink","PHB'24","226","none","Adventuring Gear","","","","","","10 GP","Ink comes in a 1-ounce bottle, which provides enough ink to write about 500 pages."
"Ink Pen","PHB'24","226","none","Adventuring Gear","","","","","","2 CP","Using Ink, an Ink Pen is used to write or draw."
"Iron","DMG'24","213","none","Trade Good","","","","","1 lb.","1 SP","Merchants commonly exchange trade goods without using currency."
"Iron Pot","PHB'24","228","none","Adventuring Gear","","","","","10 lb.","2 GP","An Iron Pot holds up to 1 gallon."
"Iron Spike","PHB'24","228","none","Adventuring Gear","","","","","½ lb.","1 SP","Iron Spikes come in bundles of ten. As a Utilize action, you can use a blunt object, such as a Light Hammer, to hammer a spike into wood, earth, or a similar material. You can do so to jam a door shut or to then tie a Rope or Chain to the Spike."
"Iron Spikes","PHB'24","228","none","Adventuring Gear","","","","","5 lb.","1 GP","Iron Spikes come in bundles of ten. As a Utilize action, you can use a blunt object, such as a Light Hammer, to hammer a spike into wood, earth, or a similar material. You can do so to jam a door shut or to then tie a Rope or Chain to the Spike."
"Jacinth","DMG'24","214","none","Treasure (Gemstone)","","","","","","5,000 GP","A fiery orange gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Jade","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A light green, deep green, or white gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Jade game board with gold playing pieces","DMG'24","215","none","Treasure (Art Object)","","","","","","7,500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Jasper","DMG'24","214","none","Treasure (Gemstone)","","","","","","50 GP","A blue, black, or brown gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
